joint1,joint2,joint3,joint4,joint5,joint6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.076512639360667123e+01,1.602334489164102393e+01,-3.145971170804476458e+01,-3.096707445436572925e+01,6.328938150394492368e+01,4.436281355017540307e+01
4.045644339015141355e+01,6.985050473892141554e+01,1.034601749419285843e+00,-3.261741432657657924e+01,4.927030612728324854e+01,4.155165823971399419e+01
-3.300000000000000000e+01,5.800000000000000000e+01,6.900000000000000000e+01,3.800000000000000000e+01,8.700000000000000000e+01,6.400000000000000000e+01
