joint1,joint2,joint3,joint4,joint5,joint6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.582505276187247034e+01,1.513175749834266526e+01,-5.705850611695823638e+00,6.783611383227643898e+01,3.924703244898721266e+01,6.463042759468024201e+01
6.490047615227727817e+01,4.089830461516312710e+01,1.797479072630682850e+01,7.601459470283012365e+01,2.944461771890704327e+01,7.648999542303749877e+01
-3.300000000000000000e+01,5.800000000000000000e+01,6.900000000000000000e+01,3.800000000000000000e+01,8.700000000000000000e+01,6.400000000000000000e+01
